"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=092","Johnstown Scheels","4755 Ronald Reagan Blvd.","Johnstown","CO","80534","US","092","(970) 663-7800","Scheels Store","40.40","-104.98","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=078","Springfield Scheels","3801 S. MacArthur Blvd","Springfield","IL","62711","US","078","(217) 726-6330","Scheels Store","39.75","-89.67","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=082","Cedar Falls Scheels","402 Viking Plaza Drive","Cedar Falls","IA","50613","US","082","(319) 277-3033","Scheels Store","42.48","-92.44","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=060","Des Moines Scheels","101 Jordan Creek Parkway","West Des Moines","IA","50266","US","060","(515) 727-4065","Scheels Store","41.57","-93.80","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 9:00 PM Sundays: 10:30 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=044","Iowa City Scheels","1461 Coral Ridge Ave","Coralville","IA","52241","US","044","(319) 625-9959","Scheels Store","41.69","-91.60","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 9:00 PM Sundays: 10:30 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=050","Sioux City Scheels","4400 Sergeant Road #54","Sioux City","IA","51106","US","050","(712) 252-1551","Scheels Store","42.45","-96.35","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 9:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=088","Overland Park","6503 W 135th Street","Overland Park","KS","66223","US","088","(913) 897-3030","Scheels Store","38.88","-94.66","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=020","Moorhead Scheels","505 Center Ave","Moorhead","MN","56560-1921","US","020","(218) 233-2751","Scheels Store","46.87","-96.77","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 6:00 PM Sundays: 11:00 AM - 5:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=062","Mankato Scheels","1850 Adams Street - Ste 6","Mankato","MN","56001","US","062","(507) 386-7767","Scheels Store","44.17","-93.96","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 9:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=090","Rochester Scheels","1220 12th Street, SW, Apache Mall","Rochester","MN","55902","US","090","(507) 281-2444","Scheels Store","44.01","-92.48","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 9:00 PM Sundays: 11:00 AM - 7:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=068","Eden Prairie Scheels","8251 Flying Cloud Dr","Eden Prairie","MN","55344","US","068","(952) 826-0067","Scheels Store","44.85","-93.43","Mon-Fri: 10:00 AM - 9:00 PM Saturdays: 10:00 AM - 9:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=056","St. Cloud Scheels","30 North Waite Ave","St. Cloud","MN","56387-1269","US","056","(320) 252-9494","Scheels Store","45.56","-94.21","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=086","Billings Scheels","1121 Shiloh Crossing Blvd.","Billings","MT","59102","US","086","(406) 656-9220","Scheels Store","45.75","-108.61","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=070","Great Falls Scheels","1200 10th Ave So.","Great Falls","MT","59405","US","070","(406) 453-7666","Scheels Store","47.49","-111.29","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 7:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=058","Omaha Scheels","17202 Davenport St","Omaha","NE","68118","US","058","(402) 289-5666","Scheels Store","41.26","-96.18","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=094","Lincoln Scheels","3030 Pine Lake Road","Lincoln","NE","68516-6010","US","094","(402) 420-9000","Scheels Store","40.74","-96.68","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 11:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=074","Reno Sparks Scheels","1200 Scheels Drive","Sparks","NV","89434","US","074","(775)-331-2700","Scheels Store","39.53","-119.72","Mon-Fri: 9:00 AM - 9:00 PM Saturdays: 9:00 AM - 9:00 PM Sundays: 10:00 AM - 6:00 PM"
"https://www.scheels.com","https://www.scheels.com/store?StoreID=006","Minot Scheels","2400 10th St SW","Minot","ND","58701-6996","US","006","(701) 852-1010","Scheels Store","48.21","-101.31","Mon-Fri: 9:30 AM - 9:00 PM Saturdays: 9:30 AM - 7:00 PM Sundays: 11:00 AM - 6:00 PM"
