"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Brooklyn Livingston Street","289 Livingston St","Brooklyn","NY","11217","US","9271","(718) 260-9464","Wingstop","40.688395","-73.981985","Fri 11:00-23:45 Sat 11:00-22:00 Sun 11:15-22:00 Mon 12:00-22:00 Tue 11:00-23:45 Wed 11:00-23:45 Thu 11:00-23:45 Fri 11:00-23:45"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Brooklyn 284 Broadway","284 Broadway","Brooklyn","NY","11211","US","70386","(929) 207-9464","Wingstop","40.708468","-73.958668","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Brooklyn Fulton St","1270 Fulton St","Brooklyn","NY","11216","US","9215","(646) 787-9464","Wingstop","40.6802316","-73.950007","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Bushwick","935 Broadway","Brooklyn","NY","11206","US","26509","(347) 507-9464","Wingstop","40.697334","-73.935548","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Brooklyn 946 Flatbush Ave","946 Flatbush Ave","Brooklyn","NY","11226","US","70360","(929) 209-9464","Wingstop","40.6484024","-73.9584797","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Brooklyn Utica Ave","700 Utica Ave","Brooklyn","NY","11203","US","70218","(718) 245-9464","Wingstop","40.6562345","-73.9312557","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-23:00 Mon 11:00-23:00 Tue 11:00-23:00 Wed 11:00-23:00 Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Astoria","31-14 Steinway Street","Astoria","NY","11103","US","9123","(718) 777-9464","Wingstop","40.7610205","-73.9176345","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop North Bergen Tonnelle","9100 Tonnelle Ave","North Bergen","NJ","07047","US","18236","(201) 766-9464","Wingstop","40.8135822","-74.0099521","Fri 11:00-23:30 Sat 11:00-23:30 Sun 11:00-23:30 Mon 11:00-23:30 Tue 11:00-23:30 Wed 11:00-23:30 Thu 11:00-23:30 Fri 11:00-23:30"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop New York 125th St","63 W. 125th St.","New York","NY","10027","US","15578","(212) 987-9464","Wingstop","40.8076516","-73.944455","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Newark McCarter Hwy","1244 McCarter Hwy","Newark","NJ","07014","US","17664","(908) 469-9464","Wingstop","40.7511756","-74.1672549","Fri 11:00-23:45 Sat 11:00-23:45 Sun 11:00-23:45 Mon 11:00-23:30 Tue 11:00-23:30 Wed 11:00-23:30 Thu 11:00-23:30 Fri 11:00-23:45"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Staten Island Forest Ave.","1756 Forest Ave","Staten Island","NY","10303","US","26505","(718) 524-6564","Wingstop","40.624674","-74.1473569","Fri 11:00-23:45 Sat 11:00-23:45 Sun 11:00-23:00 Mon 11:00-23:00 Tue 11:00-23:00 Wed 11:00-23:00 Thu 11:00-23:00 Fri 11:00-23:45"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Bronx E. Burnside Ave.","88 E. Burnside Ave #4","Bronx","NY","10453","US","27019","(917) 737-7000","Wingstop","40.8531391","-73.9061057","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Bronx E. Fordham Rd","305 E. Fordham Rd","Bronx","NY","10458","US","75573","(917) 737-8600","Wingstop","40.8624184","-73.8946277","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Hillside Liberty Ave","1104 Liberty Ave","Hillside","NJ","07205","US","73146","(908) 248-8554","Wingstop","40.6920306","-74.2371222","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Elizabeth Elmora Ave","178 - B Elmora Ave","Elizabeth","NJ","07202","US","9467","(908) 558-9464","Wingstop","40.6634006","-74.2342794","Fri 11:00-23:30 Sat 11:00-23:30 Sun 11:00-23:30 Mon 11:00-23:30 Tue 11:00-23:30 Wed 11:00-23:30 Thu 11:00-23:30 Fri 11:00-23:30"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Garfield Outwater Ln.","11 Outwater Ln #5","Garfield","NJ","07026","US","31057","(973) 546-9464","Wingstop","40.8807127","-74.1186051","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Bergenfield S. Washington Ave","415 S. Washington Ave","Bergenfield","NJ","07621","US","49753","(201) 771-7771","Wingstop","40.9137232","-73.9965009","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Clifton New Jersey Main Ave","1578 Main Ave","Clifton","NJ","07011","US","20663","(862) 225-9464","Wingstop","40.8881838","-74.1517951","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Union US Highway 22 E","2290 Route 22 East","Union","NJ","07083","US","31223","(908) 378-9464","Wingstop","40.6902313","-74.2904163","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-23:30 Mon 11:00-23:30 Tue 11:00-23:30 Wed 11:00-23:30 Thu 11:00-23:30 Fri 11:00-midnight"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Pelham Boston Post Rd.","4326 Boston Post Rd","Pelham","NY","10803","US","36510","(914) 633-7100","Wingstop","40.8900373","-73.8191624","Fri 11:00-23:45 Sat 11:00-23:45 Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-23:45"
"https://www.wingstop.com","https://www.wingstop.com/order","Wingstop Woodbridge US Hwy 9 N.","306 Us Highway 9 N.","Woodbridge","NJ","07095","US","72007","(732) 826-9000","Wingstop","40.5352307","-74.2942437","Fri 11:00-midnight Sat 11:00-midnight Sun 11:00-midnight Mon 11:00-midnight Tue 11:00-midnight Wed 11:00-midnight Thu 11:00-midnight Fri 11:00-midnight"
